년도,출자분야,운용사,조합명,만기일,금액,약정액
2017,청년창업,"(Co-GP)신한금융투자, 코그니티브인베스트먼트",신한-코그니티브 청년창업 투자조합,2025-12-28,30500.0,16500.0
2017,청년창업,에이치비인베스트먼트,HB 청년창업 투자조합,2025-12-28,75000.0,35000.0
2017,재기지원,케이앤투자파트너스,케이앤 JUMP-UP1호 투자조합,2025-12-27,37500.0,30000.0
2017,재기지원,마그나인베스트먼트,2017 마그나 인스타펀드,2025-12-27,37500.0,30000.0
2017,재기지원,"(Co-GP)케이클라비스인베스트먼트, 비하이인베스트먼트",케이클라비스·비하이 리챌린지 투자조합,2025-12-27,20000.0,16000.0
2017,4차 산업혁명,엘에스케이인베스트먼트,LSK 헬스케어 1호펀드,2025-12-27,20000.0,7000.0
2017,4차 산업혁명,코오롱인베스트먼트,코오롱 2017 4차 산업혁명 투자조합,2025-12-27,67000.0,17500.0
2017,4차 산업혁명,에이티넘인베스트먼트,에이티넘성장투자조합2018,2025-12-27,350000.0,37500.0
2017,청년창업,레오파트너스인베스트먼트,레오9호 효성청년창업펀드,2025-12-27,15500.0,9000.0
2017,청년창업,미래에셋벤처투자,미래에셋 청년창업 투자조합 2호,2025-12-27,25000.0,15000.0
2017,청년창업,현대기술투자,현대청년펀드2호,2025-12-27,60000.0,36000.0
2017,재기지원,메가인베스트먼트,2017 메가RS투자조합,2025-12-26,20000.0,16000.0
2017,재기지원,가이아벤처파트너스,가이아재기지원투자조합1호,2025-12-26,20000.0,16000.0
2017,4차 산업혁명,스틱인베스트먼트,스틱 4차산업혁명 펀드,2025-12-26,108300.0,50000.0
2017,청년창업,대성창업투자,대성 글로벌위너 청년창업 투자조합,2025-12-26,15000.0,9000.0
2017,청년창업,엘앤에스벤처캐피탈,L&S-SDC 청년창업투자조합,2025-12-26,10000.0,6000.0
2017,청년창업,"(Co-GP)수인베스트먼트캐피탈, 신한캐피탈",신한-수인베스트먼트 청년창업 투자조합,2025-12-25,27500.0,16500.0
2017,4차 산업혁명,네오플럭스,신한-네오플럭스 에너지 신산업 투자조합,2025-12-21,60000.0,28000.0
2017,청년창업,데브시스터즈벤처스,데브-넥시드 청년창업 투자조합 3호,2025-12-21,15000.0,6000.0
2017,지방기업,라이트하우스컴바인인베스트,울산-LH 청년창업투자조합,2025-12-20,12000.0,7000.0
2017,지방기업,대덕벤처파트너스,대전4차산업혁명투자조합,2025-12-20,13000.0,7000.0
2017,스포츠산업육성,센트럴투자파트너스,센트럴스포츠투자조합,2025-12-18,17000.0,10000.0
2017,일반,LB인베스트먼트,LB기술금융펀드1호,2025-12-14,54000.0,5000.0
2017,청년창업,제이엑스파트너스,제이엑스 2호 투자조합,2025-12-12,12500.0,7500.0
2017,재기지원,티에스인베스트먼트,티에스 우리-충남 11호 턴어라운드 투자조합,2025-12-06,78000.0,48000.0
2017,4차 산업혁명,에쓰비인베스트먼트,에쓰비4차산업혁명투자조합,2025-12-05,10000.0,7000.0
2017,재기지원,에스제이투자파트너스,에스제이 뉴챌린지 펀드,2025-11-28,37500.0,30000.0
2017,NEW콘텐츠,케이비인베스트먼트,KB NEW콘텐츠 투자조합,2025-11-21,25000.0,10000.0
2017,일반,송현인베스트먼트,송현 e-신산업 펀드,2025-11-15,93000.0,9000.0
2017,청년창업,인라이트벤처스,인라이트 1호 청년창업펀드,2025-11-13,16200.0,9000.0
2017,디지털콘텐츠 창업초기,이에스인베스터,이에스3호디지털콘텐츠창업초기투자조합,2025-10-16,12000.0,8000.0
2017,스포츠산업 육성,보광창업투자,보광25호 스포츠융복합s2투자조합,2025-09-28,12000.0,7000.0
2017,특허기술사업화,유티씨인베스트먼트,유티씨특허기술사업화투자조합,2025-09-25,15000.0,10000.0
2017,청년창업,쿨리지코너인베스트먼트,CCVC-광주 청년창업펀드,2025-09-18,10000.0,6000.0
2017,일반,한국투자파트너스 ,한국투자 Industry 4.0 벤처펀드,2025-09-13,71000.0,1000.0
2017,여성,디티앤인베스트먼트,DTNI-소프트산업육성 투자조합,2025-09-11,15000.0,10000.0
2017,고급기술인력창업,코메스인베스트먼트,코메스 2017-1 스타트업 그린투자조합,2025-09-11,14500.0,8500.0
2017,해외진출,네오플럭스,경기-네오플럭스 슈퍼맨투자조합,2025-09-05,34000.0,12000.0
