회사명,재무기준일,평가종류,직전등급,직전Outlook,현재등급,현재Outlook,기준통화,평가일,리포트,Type
비엔케이저축은행,2020.12.31,정기,A,안정적,A,안정적,원화/외화,2021.06.24,S,Issuer Rating
서울보증보험,2020.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2021.06.24,S,Issuer Rating
신한저축은행,2020.12.31,정기,A,안정적,A,안정적,원화/외화,2021.06.24,S,Issuer Rating
아이비케이저축은행,2020.12.31,정기,A,안정적,A,안정적,원화/외화,2021.06.24,S,Issuer Rating
에스비아이저축은행,2020.12.31,정기,A-,안정적,A-,긍정적,원화/외화,2021.06.24,S,Issuer Rating
한국해양진흥공사,2020.12.31,정기,AAA,안정적,AAA,안정적,원화/외화,2021.06.24,S,Issuer Rating
효성티앤씨,2020.12.31,본,A,안정적,A,긍정적,원화/외화,2021.06.24,S,Issuer Rating
신세계사이먼,2020.12.31,본,A+,안정적,A+,안정적,원화/외화,2021.06.23,S,Issuer Rating
중국공상은행,2020.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2021.06.23,S,Issuer Rating
케이티비네트워크,2020.12.31,본,,,BBB+,안정적,원화/외화,2021.06.23,S,Issuer Rating
한양증권,2020.12.31,정기,A,안정적,A,안정적,원화/외화,2021.06.23,S,Issuer Rating
한전KPS,2020.12.31,정기,AA,안정적,AA,안정적,원화/외화,2021.06.23,S,Issuer Rating
크레디트스위스은행서울지점,2020.12.31,정기,AAA,안정적,AAA,안정적,원화/외화,2021.06.22,S,Issuer Rating
키움증권,2020.12.31,본,AA-,안정적,AA-,안정적,원화/외화,2021.06.22,S,Issuer Rating
