회사명,시리즈,유형,공여기관,한도액(억원),약정만료일,평가종류,직전등급,현재등급,평가일,리포트,Type
신보2019제7차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,2049.10902,2022.07.08,정기,AAA (sf),AAA (sf),2020.12.08,S,유동화익스포져
커머셜오토제십차유동화전문,,신용공여,신한은행,140.0,2023.09.18,본,,AAA (sf),2020.12.04,S,유동화익스포져
카드오토제일차유동화전문,,신용공여,국민은행,100.0,2022.11.27,정기,AAA (sf),AAA (sf),2020.12.02,S,유동화익스포져
우리에스케이알제일차,,유동성 및 신용공여,우리은행,400.0,2023.11.30,본,,A (sf),2020.11.30,S,유동화익스포져
유플러스파이브지제오십사차유동화전문,,신용공여,하나은행,22.0,2025.07.07,본,,AAA (sf),2020.11.27,S,유동화익스포져
우리에이치씨제사차,,유동성 및 신용공여,우리은행,900.0,2023.11.25,본,,AA (sf),2020.11.25,S,유동화익스포져
신보2019제5차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,2025.705,2022.06.10,정기,AAA (sf),AAA (sf),2020.11.24,S,유동화익스포져
신보2020제20차유동화전문,한국산업은행이 제공하는 신용공여,신용공여,한국산업은행,3624.634,2023.12.07,수시,AAA (sf),AAA (sf),2020.11.23,S,유동화익스포져
퍼스트파이브지제사십육차유동화전문,,신용공여,신한은행,85.8,2024.03.29,정기,AAA (sf),AAA (sf),2020.11.20,S,유동화익스포져
신보2020제20차유동화전문,한국산업은행이 제공하는 신용공여,신용공여,한국산업은행,3659.9276,2023.12.07,본,,AAA (sf),2020.11.19,S,유동화익스포져
신보2020제21차유동화전문,국민은행이 제공하는 신용공여,신용공여,국민은행,5114.98,2023.12.07,본,,AAA (sf),2020.11.19,S,유동화익스포져
티월드제오십팔차유동화전문,,신용공여,신한은행,75.0,2024.05.30,본,,AAA (sf),2020.11.19,S,유동화익스포져
리디파인여수죽림,,유동성 및 신용공여,신한은행,300.0,2022.01.22,정기,AA- (sf),AA- (sf),2020.11.17,S,유동화익스포져
유플러스파이브지제사십칠차유동화전문,,신용공여,하나은행,33.0,2023.04.11,정기,AAA (sf),AAA (sf),2020.11.17,S,유동화익스포져
티월드제사십일차유동화전문,,신용공여,국민은행,75.0,2023.03.30,정기,AAA (sf),AAA (sf),2020.11.17,S,유동화익스포져
기가엘티이제사십차유동화전문,,신용공여,중소기업은행,92.4,2022.03.31,정기,AAA (sf),AAA (sf),2020.11.16,S,유동화익스포져
카드오토제삼차유동화전문,,신용공여,농협은행,170.0,2024.12.27,본,,AAA (sf),2020.11.16,S,유동화익스포져
유플러스엘티이제사십차유동화전문,,신용공여,신한은행,22.0,2022.02.08,정기,AAA (sf),AAA (sf),2020.11.10,S,유동화익스포져
유플러스파이브지제사십육차유동화전문,,신용공여,신한은행,22.0,2023.02.07,정기,AAA (sf),AAA (sf),2020.11.05,S,유동화익스포져
티월드제사십차유동화전문,,신용공여,국민은행,60.0,2023.02.28,정기,AAA (sf),AAA (sf),2020.11.04,S,유동화익스포져
티월드제삼십구차유동화전문,,신용공여,국민은행,75.0,2023.01.31,정기,AAA (sf),AAA (sf),2020.11.04,S,유동화익스포져
티월드제이십오차유동화전문,,신용공여,국민은행,40.0,2022.01.02,정기,AAA (sf),AAA (sf),2020.11.03,S,유동화익스포져
티월드제이십육차유동화전문,,신용공여,국민은행,40.0,2022.01.31,정기,AAA (sf),AAA (sf),2020.11.03,S,유동화익스포져
티월드제이십칠차유동화전문,,신용공여,국민은행,35.0,2022.02.28,정기,AAA (sf),AAA (sf),2020.11.03,S,유동화익스포져
에스타이거제오차,,유동성 및 신용공여,신한은행,520.0,2022.08.07,정기,A- (sf),A- (sf),2020.11.02,S,유동화익스포져
보령터미널제일차,,유동성공여,우리은행,20.0,2037.01.28,정기,AA- (sf),AA- (sf),2020.10.29,S,유동화익스포져
비더블유엘제일차,,유동성 및 신용공여,우리은행,300.0,2021.10.28,본,BBB+ (sf),BBB+ (sf),2020.10.28,S,유동화익스포져
에스타이거제십차,,유동성 및 신용공여,신한은행,2000.0,2025.10.29,본,,AA (sf),2020.10.28,S,유동화익스포져
불두제일차,,유동성 및 신용공여,중소기업은행,648.0,2024.04.01,정기,AA- (sf),AA- (sf),2020.10.26,S,유동화익스포져
퍼스트파이브지제오십삼차유동화전문,,신용공여,우리은행,100.5,2025.06.03,본,,AAA (sf),2020.10.26,S,유동화익스포져
신보2020제18차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,4884.545,2023.11.08,본,,AAA (sf),2020.10.21,S,유동화익스포져
티월드제오십칠차유동화전문,,신용공여,신한은행,70.0,2024.04.30,본,,AAA (sf),2020.10.21,S,유동화익스포져
베스트제오차유동화전문,,신용공여,농협은행,200.0,2022.10.28,본,,AAA (sf),2020.10.19,S,유동화익스포져
써니금융제십차,,유동성 및 신용공여,신한은행,300.0,2022.04.05,정기,A (sf),A (sf),2020.10.14,S,유동화익스포져
티월드제삼십팔차유동화전문,,신용공여,신한은행,75.0,2022.12.28,정기,AAA (sf),AAA (sf),2020.10.13,S,유동화익스포져
