,순위,종목코드,종목명,주식종류,시장구분,주당배당금,시가배당율,액면가배당율,액면가,결산월
1262,1263,068410,아코디스,보통주,기타비상장,50,0.00,10.00,500,12
1263,1264,078830,제이오텍,보통주,기타비상장,0,0.00,24.00,500,12
1264,1280,29664K,이노룰스1우,우선주,기타비상장,0,0.00,0.00,500,12
1265,1281,30703K,조앤강1우,우선주,기타비상장,400,0.00,400.00,100,12
1266,1282,307030,조앤강,보통주,기타비상장,15,0.00,15.00,100,12
1267,1283,26574K,엔에프씨1우,우선주,기타비상장,100,0.00,100.00,100,12
1268,1284,107870,세일이엔에스보통주,보통주,기타비상장,0,0.00,80.00,"5,000",12
1269,1285,262840,아이퀘스트,보통주,코스닥시장,100,0.00,100.00,100,12
1270,1286,359960,하나트러스트제6호위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"5,000",12
1271,1287,36078K,하나트러스트제5호위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,4.82,"5,000",12
1272,1288,203810,국제16호선박투자회사,보통주,기타비상장,0,0.00,3.69,"5,000",12
1273,1289,32700L,신한알파강남위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,157.10,"1,000",03
1274,1290,335050,신한호텔천안위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"1,000",03
1275,1276,228350,불스원,보통주,기타비상장,0,0.00,5.00,500,12
1276,1277,232150,이지메디컴,보통주,기타비상장,0,0.00,10.00,500,12
1277,1278,138290,지성이씨에스,보통주,기타비상장,200,0.00,20.00,"1,000",12
1278,1279,30292K,더콘텐츠온1우,우선주,기타비상장,5,0.00,1.00,500,12
1279,1295,307030,조앤강,보통주,기타비상장,15,0.00,15.00,100,12
1280,1296,26574K,엔에프씨1우,우선주,기타비상장,100,0.00,100.00,100,12
1281,1297,107870,세일이엔에스보통주,보통주,기타비상장,0,0.00,80.00,"5,000",12
1282,1298,262840,아이퀘스트,보통주,코스닥시장,100,0.00,100.00,100,12
1283,1299,359960,하나트러스트제6호위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"5,000",12
1284,1300,36078K,하나트러스트제5호위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,4.82,"5,000",12
1285,1301,203810,국제16호선박투자회사,보통주,기타비상장,0,0.00,3.69,"5,000",12
1286,1302,32700L,신한알파강남위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,157.10,"1,000",03
1287,1303,335050,신한호텔천안위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"1,000",03
1288,1304,274030,그렉스,보통주,기타비상장,180,0.00,36.00,500,12
1289,1305,096300,한국월드와이드베트남부동산개발특별자산1호투자회사,보통주,유가증권시장,70,0.00,16.67,0,02
1290,1291,138290,지성이씨에스,보통주,기타비상장,200,0.00,20.00,"1,000",12
1291,1292,30292K,더콘텐츠온1우,우선주,기타비상장,5,0.00,1.00,500,12
1292,1293,29664K,이노룰스1우,우선주,기타비상장,0,0.00,0.00,500,12
1293,1294,30703K,조앤강1우,우선주,기타비상장,400,0.00,400.00,100,12
1294,1310,26574K,엔에프씨1우,우선주,기타비상장,100,0.00,100.00,100,12
1295,1311,107870,세일이엔에스보통주,보통주,기타비상장,0,0.00,80.00,"5,000",12
1296,1312,262840,아이퀘스트,보통주,코스닥시장,100,0.00,100.00,100,12
1297,1313,359960,하나트러스트제6호위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"5,000",12
1298,1314,36078K,하나트러스트제5호위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,4.82,"5,000",12
1299,1315,203810,국제16호선박투자회사,보통주,기타비상장,0,0.00,3.69,"5,000",12
1300,1316,32700L,신한알파강남위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,157.10,"1,000",03
1301,1317,335050,신한호텔천안위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"1,000",03
1302,1318,274030,그렉스,보통주,기타비상장,180,0.00,36.00,500,12
1303,1319,096300,한국월드와이드베트남부동산개발특별자산1호투자회사,보통주,유가증권시장,70,0.00,16.67,0,02
1304,1320,00188K,디엘건설1우,우선주,기타비상장,"4,784",0.00,95.68,"5,000",12
1305,1306,30292K,더콘텐츠온1우,우선주,기타비상장,5,0.00,1.00,500,12
