기업명,평정,직전등급,현재등급,등급결정일,등급확정일,결산기준,발행한도(억원),유효기간,요지,재무,보고서,Type
롯데오토리스(주),정기,A2,A2,2020.12.16,2020.12.17,2019.12.31,1000,2021.06.30,,,,전자단기사채
아시아나항공(주),정기,A3-↓,A3-,2020.12.17,2020.12.17,2019.12.31,5000,2021.06.30,,,,전자단기사채
케이티비투자증권(주),정기,A2-,A2-,2020.12.16,2020.12.17,2019.12.31,5000,2021.06.30,,,,전자단기사채
부국증권(주),정기,A2+,A2+,2020.12.16,2020.12.16,2019.12.31,9000,2021.06.30,,,,전자단기사채
엘지이노텍(주),정기,A1,A1,2020.12.16,2020.12.16,2019.12.31,2000,2021.06.30,,,,전자단기사채
한국남동발전(주),정기,A1,A1,2020.12.16,2020.12.16,2019.12.31,5000,2021.06.30,,,,전자단기사채
한화투자증권(주),정기,A1,A1,2020.12.16,2020.12.16,2019.12.31,10000,2021.06.30,,,,전자단기사채
신한금융투자(주),정기,A1,A1,2020.12.15,2020.12.15,2019.12.31,30000,2021.06.30,,,,전자단기사채
엘에스엠트론(주),정기,A2-,A2-,2020.12.14,2020.12.15,2019.12.31,500,2021.06.30,,,,전자단기사채
중앙일보(주),정기,A3,A3,2020.12.14,2020.12.15,2019.12.31,1000,2021.06.30,,,,전자단기사채
(주)대동,정기,A3,A3,2020.12.14,2020.12.14,2019.12.31,200,2021.06.30,,,,전자단기사채
(주)예스코,정기,A1,A1,2020.12.14,2020.12.14,2019.12.31,1000,2021.06.30,,,,전자단기사채
(주)예스코홀딩스,정기,A1,A1,2020.12.14,2020.12.14,2019.12.31,1000,2021.06.30,,,,전자단기사채
대신에프앤아이(주),정기,A2,A2,2020.12.14,2020.12.14,2019.12.31,5000,2021.06.30,,,,전자단기사채
신성통상(주),본,,A3-,2020.12.11,2020.12.14,2020.06.30,200,2021.12.31,,,,전자단기사채
키움캐피탈(주),정기,A3+,A3+,2020.12.14,2020.12.14,2019.12.31,2000,2021.06.30,,,,전자단기사채
(주)호텔롯데,정기,A1,A1,2020.12.10,2020.12.11,2019.12.31,5000,2021.06.30,,,,전자단기사채
롯데캐피탈(주),정기,A1,A1,2020.12.11,2020.12.11,2019.12.31,10000,2021.06.30,,,,전자단기사채
에스케이증권(주),정기,A2+,A2+,2020.12.10,2020.12.11,2019.12.31,5000,2021.06.30,,,,전자단기사채
