기업명,평정,직전등급,직전전망,현재등급,현재전망,등급결정일,등급확정일,유효기간,요지,재무,보고서,Type
(주)한솔케미칼,본,,,BBB+,Positive,2010.05.06,2010.05.06,2011.05.06,,,,기업신용평가
국가철도공단,정기,AAA,Stable,AAA,Stable,2010.05.06,2010.05.06,2047.03.20,,,,기업신용평가
한국수자원공사,정기,AAA,Stable,AAA,Stable,2010.05.06,2010.05.06,2046.06.22,,,,기업신용평가
(주)한진중공업,정기,A,Stable,A,Stable,2010.05.04,2010.05.04,2015.06.08,,,,기업신용평가
드림라인(주),본,,,BBB-,Stable,2010.05.04,2010.05.04,2011.05.04,,,,기업신용평가
서울주택도시공사,정기,AAA,Stable,AAA,Stable,2010.05.04,2010.05.04,2020.06.25,,,,기업신용평가
한국철도공사,정기,AAA,Stable,AAA,Stable,2010.05.04,2010.05.04,2046.11.23,,,,기업신용평가
(주)두산,정기,A-,Stable,A,Stable,2010.05.03,2010.05.03,2019.10.29,,,,기업신용평가
두타몰(주),본,,,A-,Stable,2010.05.03,2010.05.03,2015.09.23,,,,기업신용평가
삼성증권(주),수시,AA,Stable,AA,Positive,2010.05.03,2010.05.03,2011.02.25,,,,기업신용평가
한국정책금융공사,정기,AAA,Stable,AAA,Stable,2010.05.03,2010.05.03,2029.09.26,,,,기업신용평가
(주)경남은행,정기,AA+,Stable,AA+,Stable,2010.04.30,2010.04.30,2043.11.28,,,,기업신용평가
(주)광주은행,정기,AA+,Stable,AA+,Stable,2010.04.30,2010.04.30,2013.06.17,,,,기업신용평가
(주)국민은행,정기,AAA,Stable,AAA,Stable,2010.04.30,2010.04.30,2015.04.01,,,,기업신용평가
(주)대구은행,정기,AA+,Stable,AA+,Stable,2010.04.30,2010.04.30,2017.05.30,,,,기업신용평가
(주)부산은행,정기,AA+,Stable,AA+,Stable,2010.04.30,2010.04.30,2013.04.29,,,,기업신용평가
(주)신한은행,정기,AAA,Stable,AAA,Stable,2010.04.30,2010.04.30,2018.04.04,,,,기업신용평가
(주)우리은행,정기,AAA,Stable,AAA,Stable,2010.04.30,2010.04.30,2017.04.03,,,,기업신용평가
(주)하나은행,정기,AAA,Stable,AAA,Stable,2010.04.30,2010.04.30,2039.03.31,,,,기업신용평가
(주)하나은행,정기,AAA,Stable,AAA,Stable,2010.04.30,2010.04.30,2017.04.03,,,,기업신용평가
(주)한국스탠다드차타드은행,정기,AAA,Stable,AAA,Stable,2010.04.30,2010.04.30,2018.04.01,,,,기업신용평가
(주)한국씨티은행,정기,AAA,Stable,AAA,Stable,2010.04.30,2010.04.30,2017.04.03,,,,기업신용평가
JW중외제약(주),본,,,BBB+,Stable,2010.04.30,2010.04.30,2012.02.01,,,,기업신용평가
광주광역시도시공사,정기,AA+,Stable,AA+,Stable,2010.04.30,2010.04.30,2016.03.03,,,,기업신용평가
(주)대림,정기,A,Stable,A,Stable,2010.04.29,2010.04.29,2011.02.21,,,,기업신용평가
(주)한국토지신탁,정기,BBB,Positive,BBB+,Stable,2010.04.29,2010.04.29,2016.04.15,,,,기업신용평가
두산건설(주),정기,A-,Stable,A-,Stable,2010.04.28,2010.04.28,2020.03.21,,,,기업신용평가
에스케이(주),정기,AA,Stable,AA,Stable,2010.04.28,2010.04.28,2012.05.30,,,,기업신용평가
한화글로벌에셋(주),정기,BBB+,Stable,BBB+,Stable,2010.04.28,2010.04.28,2018.08.27,,,,기업신용평가
현대트랜시스(주),정기,A,Stable,A,Stable,2010.04.28,2010.04.28,2022.02.28,,,,기업신용평가
쌍용건설(주),본,,,BBB+,Negative,2010.04.27,2010.04.27,2013.06.30,,,,기업신용평가
삼환기업(주),정기,A-,Negative,BBB+,Stable,2010.04.26,2010.04.26,2012.10.27,,,,기업신용평가
중소벤처기업진흥공단,정기,AAA,Stable,AAA,Stable,2010.04.26,2010.04.26,2017.07.25,,,,기업신용평가
한국컨테이너부두공단,정기,AAA,Stable,AAA,Stable,2010.04.26,2010.04.26,2018.04.28,,,,기업신용평가
(주)티브로드,정기,A,Stable,A,Stable,2010.04.23,2010.04.23,2012.06.26,,,,기업신용평가
동부제철(주),정기,BBB,Negative,BBB,Negative,2010.04.23,2010.04.23,2018.03.09,,,,기업신용평가
엘아이지넥스원(주),정기,AA-,Stable,AA-,Stable,2010.04.23,2010.04.23,2011.03.04,,,,기업신용평가
한화시스템(주),정기,AA-,Stable,AA-,Stable,2010.04.23,2010.04.23,2011.03.04,,,,기업신용평가
(주)엘지유플러스,정기,AA-,Stable,AA-,Positive,2010.04.22,2010.04.22,2026.01.26,,,,기업신용평가
(주)하나금융지주,정기,AAA,Stable,AAA,Stable,2010.04.22,2010.04.22,2021.03.17,,,,기업신용평가
신영증권(주),본,,,AA-,Stable,2010.04.22,2010.04.22,2011.04.22,,,,기업신용평가
에이치엠엠(주),정기,A,Stable,A,Stable,2010.04.22,2010.04.22,2015.03.28,,,,기업신용평가
메리츠종합금융(주),수시,A-↑,,취소,,2010.04.21,2010.04.21,2011.04.29,,,,기업신용평가
에스케이네트웍스(주),본,,,AA-,Stable,2010.04.21,2010.04.21,2010.05.30,,,,기업신용평가
포스코에너지(주),정기,AA+,Stable,AA+,Stable,2010.04.21,2010.04.21,2043.08.29,,,,기업신용평가
(주)신한금융지주회사,정기,AAA,Stable,AAA,Stable,2010.04.20,2010.04.20,2045.06.25,,,,기업신용평가
(주)유성티엔에스,본,,,BB,Stable,2010.04.20,2010.04.20,2015.04.18,,,,기업신용평가
(주)한화,정기,A-,Stable,A,Stable,2010.04.20,2010.04.20,2020.06.08,,,,기업신용평가
(주)한화건설,정기,A-,Stable,A-,Stable,2010.04.20,2010.04.20,2021.06.03,,,,기업신용평가
고려개발(주),정기,A-,Negative,A-,Negative,2010.04.20,2010.04.20,2012.03.20,,,,기업신용평가
(주)이랜드,본,,,BBB,Stable,2010.04.16,2010.04.16,2010.05.17,,,,기업신용평가
한국수력원자력(주),정기,AAA,Stable,AAA,Stable,2010.04.16,2010.04.16,2040.12.10,,,,기업신용평가
삼성엔지니어링(주),본,,,AA-,Stable,2010.04.15,2010.04.15,2011.04.15,,,,기업신용평가
엠캐피탈(주),본,,,A,Stable,2010.04.15,2010.04.15,2018.05.22,,,,기업신용평가
한화토탈(주),정기,AA-,Stable,AA-,Stable,2010.04.12,2010.04.12,2022.04.27,,,,기업신용평가
한국산업은행,정기,AAA,Stable,AAA,Stable,2010.04.09,2010.04.09,2018.04.09,,,,기업신용평가
현대엠코(주),정기,A-,Stable,A,Stable,2010.04.09,2010.04.09,2014.03.25,,,,기업신용평가
대우자동차판매(주),수시,BBB-↓,,CCC,Stable,2010.04.08,2010.04.08,2012.04.24,,,,기업신용평가
평택도시공사,정기,AA,Stable,AA,Stable,2010.04.08,2010.04.08,2014.05.31,,,,기업신용평가
(주)쌈지,수시,CC↓,,D,,2010.04.07,2010.04.07,2012.09.25,,,,기업신용평가
씨제이지엘에스(주),본,,,A,Stable,2010.04.07,2010.04.07,2013.04.28,,,,기업신용평가
씨제이프레시웨이(주),본,,,A,Stable,2010.04.07,2010.04.07,2020.01.25,,,,기업신용평가
(주)쌈지,수시,B-↓,,CC↓,,2010.04.05,2010.04.05,2012.09.25,,,,기업신용평가
(주)엑스로드,수시,CCC↓,,CC↓,,2010.04.05,2010.04.05,2012.10.08,,,,기업신용평가
(주)케드콤,수시,CCC↓,,CC↓,,2010.04.05,2010.04.05,2012.05.29,,,,기업신용평가
HSD엔진(주),정기,A-,Stable,A-,Stable,2010.04.02,2010.04.02,2012.04.15,,,,기업신용평가
현대제철(주),정기,AA-,Stable,AA,Stable,2010.04.02,2010.04.02,2024.01.24,,,,기업신용평가
